name,proc_id,njss_url,address,open_count,total_count,result_count
労働者健康安全機構 和歌山労災病院,1480,https://www2.njss.info/organizations/proc/1480,和歌山県,3,1671,1051
高齢・障害・求職者雇用支援機構 宮城支部,4410,https://www2.njss.info/organizations/proc/4410,宮城県,3,1926,785
高齢・障害・求職者雇用支援機構 宮崎支部,4416,https://www2.njss.info/organizations/proc/4416,宮崎県,3,1479,241
高齢・障害・求職者雇用支援機構 福島支部,5796,https://www2.njss.info/organizations/proc/5796,福島県,3,732,348
高齢・障害・求職者雇用支援機構 奈良支部,5854,https://www2.njss.info/organizations/proc/5854,奈良県,3,580,154
高齢・障害・求職者雇用支援機構 山口支部,5861,https://www2.njss.info/organizations/proc/5861,山口県,3,589,181
高齢・障害・求職者雇用支援機構 熊本支部,5870,https://www2.njss.info/organizations/proc/5870,熊本県,3,774,294
高齢・障害・求職者雇用支援機構 沖縄支部,5875,https://www2.njss.info/organizations/proc/5875,沖縄県,3,756,427
地域医療機能推進機構(JCHO) 南海医療センター,7141,https://www2.njss.info/organizations/proc/7141,大分県,3,562,497
地域医療機能推進機構(JCHO) さいたま北部医療センター,7160,https://www2.njss.info/organizations/proc/7160,埼玉県,3,485,403
地域医療機能推進機構(JCHO) 東京新宿メディカルセンター,7165,https://www2.njss.info/organizations/proc/7165,東京都,3,834,658
地域医療機能推進機構(JCHO) 仙台病院,7173,https://www2.njss.info/organizations/proc/7173,宮城県,3,675,485
地域医療機能推進機構(JCHO) 高知西病院,7192,https://www2.njss.info/organizations/proc/7192,高知県,3,263,198
地域医療機能推進機構(JCHO) 下関医療センター,7193,https://www2.njss.info/organizations/proc/7193,山口県,3,584,505
水資源機構 関西・吉野川支社吉野川本部 吉野川下流総合管理所,9783,https://www2.njss.info/organizations/proc/9783,徳島県,3,57,29
国立高等専門学校機構 有明工業高等専門学校,201,https://www2.njss.info/organizations/proc/201,福岡県,2,275,192
国立高等専門学校機構 岐阜工業高等専門学校,203,https://www2.njss.info/organizations/proc/203,岐阜県,2,406,287
国立高等専門学校機構 長岡工業高等専門学校,210,https://www2.njss.info/organizations/proc/210,新潟県,2,429,312
