name,proc_id,njss_url,address,categories,open_count,total_count,result_count
東濃西部広域行政事務組合,8540,https://www2.njss.info/organizations/proc/8540,岐阜県,地方公共団体|市役所関連団体,0,4,4
古川国府給食センター利用組合,8542,https://www2.njss.info/organizations/proc/8542,岐阜県,地方公共団体|市役所関連団体,0,1,1
東濃中部病院事務組合,8544,https://www2.njss.info/organizations/proc/8544,岐阜県,地方公共団体|市役所関連団体,0,59,51
駿東伊豆消防組合,8546,https://www2.njss.info/organizations/proc/8546,静岡県,地方公共団体|市役所関連団体,0,60,56
吉田町牧之原市広域施設組合,8548,https://www2.njss.info/organizations/proc/8548,静岡県,地方公共団体|市役所関連団体,0,4,0
下田地区消防組合,8550,https://www2.njss.info/organizations/proc/8550,静岡県,地方公共団体|市役所関連団体,0,53,43
一部事務組合下田メディカルセンター,8552,https://www2.njss.info/organizations/proc/8552,静岡県,地方公共団体|市役所関連団体,0,11,7
掛川市・菊川市衛生施設組合,8554,https://www2.njss.info/organizations/proc/8554,静岡県,地方公共団体|市役所関連団体,0,9,9
伊豆市伊豆の国市廃棄物処理施設組合,8556,https://www2.njss.info/organizations/proc/8556,静岡県,地方公共団体|市役所関連団体,0,0,0
公立陶生病院組合,8558,https://www2.njss.info/organizations/proc/8558,愛知県,地方公共団体|市役所関連団体,0,319,268
東部知多衛生組合,8560,https://www2.njss.info/organizations/proc/8560,愛知県,地方公共団体|市役所関連団体,0,1,1
衣浦衛生組合,8562,https://www2.njss.info/organizations/proc/8562,愛知県,地方公共団体|市役所関連団体,0,237,228
海部南部消防組合,8564,https://www2.njss.info/organizations/proc/8564,愛知県,地方公共団体|市役所関連団体,0,1,0
北設広域事務組合,8568,https://www2.njss.info/organizations/proc/8568,愛知県,地方公共団体|市役所関連団体,0,41,41
尾三衛生組合,8570,https://www2.njss.info/organizations/proc/8570,愛知県,地方公共団体|市役所関連団体,0,191,186
五条広域事務組合,8572,https://www2.njss.info/organizations/proc/8572,愛知県,地方公共団体|市役所関連団体,0,9,4
知多南部広域環境組合,8574,https://www2.njss.info/organizations/proc/8574,愛知県,地方公共団体|市役所関連団体,0,3,3
奥伊勢広域行政組合,8578,https://www2.njss.info/organizations/proc/8578,三重県,地方公共団体|市役所関連団体,0,0,0
南牟婁清掃施設組合,8580,https://www2.njss.info/organizations/proc/8580,三重県,地方公共団体|市役所関連団体,0,0,0
桑名広域清掃事業組合,8582,https://www2.njss.info/organizations/proc/8582,三重県,地方公共団体|市役所関連団体,0,10,5
志摩広域行政組合,8584,https://www2.njss.info/organizations/proc/8584,三重県,地方公共団体|市役所関連団体,0,27,25
紀勢地区広域消防組合,8586,https://www2.njss.info/organizations/proc/8586,三重県,地方公共団体|市役所関連団体,0,24,23
