name,njss_count,top_url,domain,platform_n,bid_url,sample_url,fetched_at
姫路市役所,231,https://www.city.himeji.lg.jp/,www.city.himeji.lg.jp,0,https://www.city.himeji.lg.jp/sangyo/category/4-3-2-0-0-0-0-0-0-0.html,https://www2.njss.info/organizations/proc/1734,2026-07-09
国土交通省(MLIT) 近畿地方整備局,229,https://www.mlit.go.jp/,www.mlit.go.jp,0,https://www.mlit.go.jp/page/kanbo07_hy_000155.html,https://www2.njss.info/organizations/proc/503,2026-07-09
国土交通省(MLIT) 北海道開発局 旭川開発建設部,229,https://e2ppiw01.e-bisc.go.jp/,e2ppiw01.e-bisc.go.jp,0,https://e2ppiw01.e-bisc.go.jp/CALS/Publish/KokaiBunshoServlet?AnkenKanriNo=022010002026422000001135&BunshoKanriId=20,https://www2.njss.info/organizations/proc/4590,2026-07-09
国土交通省(MLIT) 大阪航空局,227,https://www.p-portal.go.jp/,www.p-portal.go.jp,0,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0101,https://www2.njss.info/organizations/proc/510,2026-07-09
山形県庁,217,https://ppi.cals.pref.yamagata.jp/,ppi.cals.pref.yamagata.jp,0,https://ppi.cals.pref.yamagata.jp/PPI/JS03-01.shtml,https://www2.njss.info/organizations/proc/1575,2026-07-09
環境省(MOE),212,https://www.p-portal.go.jp/,www.p-portal.go.jp,0,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0101,https://www2.njss.info/organizations/proc/755,2026-07-09
滋賀県庁,212,https://www.pref.shiga.lg.jp/,www.pref.shiga.lg.jp,0,https://www.pref.shiga.lg.jp/zigyousya/nyusatsubaikyaku/kouzi/300177.html,https://www2.njss.info/organizations/proc/1692,2026-07-09
福井県庁,209,https://www.pref.fukui.lg.jp/,www.pref.fukui.lg.jp,0,https://www.pref.fukui.lg.jp/doc/kaikei/buppin.html,https://www2.njss.info/organizations/proc/1578,2026-07-09
福岡市役所,207,https://www.city.fukuoka.lg.jp/,www.city.fukuoka.lg.jp,0,https://www.city.fukuoka.lg.jp/zaisei/keiyaku-info/keiyaku_hp/contract_index.html,https://www2.njss.info/organizations/proc/1712,2026-07-09
防衛省(MOD) 陸上自衛隊 中部方面隊 中部方面会計隊,206,https://www.mod.go.jp/,www.mod.go.jp,0,https://www.mod.go.jp/gsdf/mae/mafin/k/ko080977.pdf,https://www2.njss.info/organizations/proc/22,2026-07-09
内閣府(CAO) 国家公安委員会 警察庁,202,https://www.p-portal.go.jp/,www.p-portal.go.jp,0,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0101,https://www2.njss.info/organizations/proc/350,2026-07-09
佐賀県庁,201,https://www.pref.saga.lg.jp/,www.pref.saga.lg.jp,0,https://www.pref.saga.lg.jp/kiji003119026/index.html,https://www2.njss.info/organizations/proc/1700,2026-07-09
高知県庁 土木部,198,https://ppi.pref.kochi.lg.jp/,ppi.pref.kochi.lg.jp,0,https://ppi.pref.kochi.lg.jp/portal/,https://www2.njss.info/organizations/proc/7750,2026-07-09
日本年金機構(JPS),194,https://www.nenkin.go.jp/,www.nenkin.go.jp,0,https://www.nenkin.go.jp/info/chotatu/mitsumoriirai/kantokoushinetsu/20260421004.html,https://www2.njss.info/organizations/proc/1676,2026-07-09
防衛省(MOD) 航空自衛隊 第4補給処,193,https://www.mod.go.jp/,www.mod.go.jp,0,https://www.mod.go.jp/asdf/4dep/open.deta/open.yunyuu.htm,https://www2.njss.info/organizations/proc/57,2026-07-09
農林水産省(MAFF) 林野庁(FA) 九州森林管理局,193,https://www.p-portal.go.jp/,www.p-portal.go.jp,0,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0101,https://www2.njss.info/organizations/proc/1333,2026-07-09
農林水産省(MAFF) 林野庁(FA) 関東森林管理局,190,https://www.rinya.maff.go.jp/,www.rinya.maff.go.jp,0,https://www.rinya.maff.go.jp/j/kouhou/cyotatu_nyusatu/index.html,https://www2.njss.info/organizations/proc/270,2026-07-09
防衛省(MOD) 航空自衛隊 第3補給処,184,https://www.mod.go.jp/,www.mod.go.jp,0,https://www.mod.go.jp/asdf/3dep/prd/oc/ocmitumori/oc-yunyuu/oc-pdf-yunyuu/oc-hinmoku/8.6.22/OC080622.pdf,https://www2.njss.info/organizations/proc/56,2026-07-09
大分県庁,184,https://www.pref.oita.jp/,www.pref.oita.jp,0,https://www.pref.oita.jp/site/nyusatu-koubo/index.html,https://www2.njss.info/organizations/proc/1643,2026-07-09
国土交通省(MLIT) 北陸地方整備局,180,https://e2ppiw01.e-bisc.go.jp/,e2ppiw01.e-bisc.go.jp,0,https://e2ppiw01.e-bisc.go.jp/CALS/Publish/KokaiBunshoServlet?AnkenKanriNo=021040002026412000000103&BunshoKanriId=20,https://www2.njss.info/organizations/proc/502,2026-07-09
栃木県庁,178,https://www.pref.tochigi.lg.jp/,www.pref.tochigi.lg.jp,0,https://www.pref.tochigi.lg.jp/kensei/nyuusatsu/index.html,https://www2.njss.info/organizations/proc/1639,2026-07-09
札幌市役所,176,https://www.city.sapporo.jp/,www.city.sapporo.jp,0,https://www.city.sapporo.jp/zaisei/keiyaku-kanri/seido/nyusatsujoho/,https://www2.njss.info/organizations/proc/1704,2026-07-09
下関市役所,176,https://www.city.shimonoseki.lg.jp/,www.city.shimonoseki.lg.jp,0,https://www.city.shimonoseki.lg.jp/life/5/25/,https://www2.njss.info/organizations/proc/1740,2026-07-09
長野市役所,174,https://www.city.nagano.nagano.jp/,www.city.nagano.nagano.jp,0,https://www.city.nagano.nagano.jp/documents/23810/01_20260410_152koukoku.pdf,https://www2.njss.info/organizations/proc/1726,2026-07-09
国土交通省(MLIT) 四国地方整備局,173,https://www.i-ppi.jp/,www.i-ppi.jp,0,https://www.i-ppi.jp/IPPI/SearchServices/Web/Index.htm,https://www2.njss.info/organizations/proc/499,2026-07-09
呉市役所,172,https://www.city.kure.lg.jp/,www.city.kure.lg.jp,0,https://www.city.kure.lg.jp/~yodo/mitumori_i/index.html,https://www2.njss.info/organizations/proc/1772,2026-07-09
富山県庁,171,https://www.pref.toyama.jp/,www.pref.toyama.jp,0,https://www.pref.toyama.jp/140521/bid/toyamaone_tenpo_nyusatsu.html,https://www2.njss.info/organizations/proc/1679,2026-07-09
香川県庁,170,https://dennyu.pref.kagawa.lg.jp/,dennyu.pref.kagawa.lg.jp,0,https://dennyu.pref.kagawa.lg.jp/PPI_P/?procKbn=0,https://www2.njss.info/organizations/proc/1696,2026-07-09
総務省(MIC),168,https://www.p-portal.go.jp/,www.p-portal.go.jp,0,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0101,https://www2.njss.info/organizations/proc/384,2026-07-09
国土交通省(MLIT) 海上保安庁 第八管区,168,https://www.p-portal.go.jp/,www.p-portal.go.jp,0,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0101,https://www2.njss.info/organizations/proc/529,2026-07-09
厚生労働省(MHLW),168,https://www.p-portal.go.jp/,www.p-portal.go.jp,0,https://www.p-portal.go.jp/pps-web-biz/UZA01/OZA0101,https://www2.njss.info/organizations/proc/716,2026-07-09
防衛省(MOD) 陸上自衛隊 補給本部,166,https://www.mod.go.jp/,www.mod.go.jp,0,https://www.mod.go.jp/gsdf/gmcc/raising/hoto/hoc/26hom014.pdf,https://www2.njss.info/organizations/proc/18,2026-07-09
日本放送協会(NHK),158,https://www.nhk.or.jp/,www.nhk.or.jp,0,https://www.nhk.or.jp/chotatsu/links/koku/260525075021kou_cable.pdf,https://www2.njss.info/organizations/proc/1298,2026-07-09
福山市役所,155,https://www.city.fukuyama.hiroshima.jp/,www.city.fukuyama.hiroshima.jp,0,https://www.city.fukuyama.hiroshima.jp/soshiki/keiyaku/jyouken2.html,https://www2.njss.info/organizations/proc/1739,2026-07-09
日本下水道事業団,154,https://www.jswa.go.jp/,www.jswa.go.jp,0,https://www.jswa.go.jp/bid/nyusatsu/control/top.php,https://www2.njss.info/organizations/proc/551,2026-07-09
防衛省(MOD) 陸上自衛隊 北部方面隊 北部方面会計隊,152,https://www.mod.go.jp/,www.mod.go.jp,0,https://www.mod.go.jp/gsdf/nae/fin/nafin/pdf/kouzizisseki/06/09/24-2.pdf,https://www2.njss.info/organizations/proc/9,2026-07-09
奈良県庁,149,https://ppi.ebid-kouji-gyoumu.pref.nara.jp/,ppi.ebid-kouji-gyoumu.pref.nara.jp,0,https://ppi.ebid-kouji-gyoumu.pref.nara.jp/DENCHO/PPJ/PPJ0020_0010/,https://www2.njss.info/organizations/proc/1641,2026-07-09
岡山市役所,148,https://keiyaku.city.okayama.jp/,keiyaku.city.okayama.jp,0,https://keiyaku.city.okayama.jp/keiyaku/servlet/KEBU.KEBUTSU_S020?SelBuppinNo=2026004763&kind=2,https://www2.njss.info/organizations/proc/1709,2026-07-09
大垣市役所,145,https://www.city.ogaki.lg.jp/,www.city.ogaki.lg.jp,0,https://www.city.ogaki.lg.jp/0000068543.html,https://www2.njss.info/organizations/proc/4725,2026-07-09
防衛省(MOD),143,https://www.p-portal.go.jp/,www.p-portal.go.jp,0,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0101,https://www2.njss.info/organizations/proc/1095,2026-07-09
兵庫県庁,143,https://www.nyusatsu.pref.hyogo.jp/,www.nyusatsu.pref.hyogo.jp,0,https://www.nyusatsu.pref.hyogo.jp/,https://www2.njss.info/organizations/proc/1583,2026-07-09
産業技術総合研究所(AIST/産総研),141,https://www.aist.go.jp/,www.aist.go.jp,0,https://www.aist.go.jp/aist_j/procure/index.html,https://www2.njss.info/organizations/proc/719,2026-07-09
