ドメイン,プラットフォーム,機関数,NJSS案件数,例URL
www.uwajima-mh.jp,個別/不明,1,44,https://www.uwajima-mh.jp/info/wp-content/uploads/2026/05/07ca79459cff7c1b1e07d5512711d9f2.pdf
www.town.miyaki.lg.jp,個別/不明,1,42,https://www.town.miyaki.lg.jp/var/rev0/0029/3888/126515111857.pdf
www.city.anjo.aichi.jp,個別/不明,1,41,https://www.city.anjo.aichi.jp/shisei/dijital-human-propo.html
www.city.edogawa.tokyo.jp,個別/不明,1,40,https://www.city.edogawa.tokyo.jp/e016/shigotosangyo/proposal/kobo/r8_no_fukei.html
www.pref.tokushima.lg.jp,個別/不明,1,39,https://www.pref.tokushima.lg.jp/jigyoshanokata/nyusatsu/itaku/7303709/
db.pref.tottori.jp,個別/不明,1,39,http://db.pref.tottori.jp/HacchuKoukai2.nsf/list1_forweb/8F80E6D599C363E449258DDF002680D3?OpenDocument
www.pref.yamaguchi.lg.jp,個別/不明,2,39,https://www.pref.yamaguchi.lg.jp/soshiki/127/23376.html
www.pref.oita.jp,個別/不明,1,37,https://www.pref.oita.jp/uploaded/life/2336487_4716595_misc.pdf
www.pref.okinawa.jp,個別/不明,1,37,https://www.pref.okinawa.jp/shigoto/nyusatsukeiyaku/1015342/index.html
ppi.keiyaku.city.hiroshima.lg.jp,PPI_P,2,37,https://ppi.keiyaku.city.hiroshima.lg.jp/PPI_P/
www.city.tottori.lg.jp,個別/不明,1,36,https://www.city.tottori.lg.jp/uploaded/attachment/47634.pdf
www.ppi.e-nagano.lg.jp,個別/不明,6,36,https://www.ppi.e-nagano.lg.jp/ebidPPIPublish/EjPPIj?KikanNO=2020200
,個別/不明,2,33,
ppi.pref.kochi.lg.jp,個別/不明,7,32,https://ppi.pref.kochi.lg.jp/portal/
www.city.kitakyushu.lg.jp,個別/不明,1,31,https://www.city.kitakyushu.lg.jp/files/001201743.pdf
www.city.kurume.fukuoka.jp,個別/不明,1,31,https://www.city.kurume.fukuoka.jp/1090sangyou/2010nyuusatsu/3110proposal/files/model_jisiyoukou.pdf
www.ntj.jac.go.jp,個別/不明,1,31,https://www.ntj.jac.go.jp/assets/files/03_chotatsu/kouhyou/R7/R8_3/lc260301_3-2.pdf
www.city.okazaki.lg.jp,個別/不明,1,30,https://www.city.okazaki.lg.jp/_res/projects/default_project/_page_/001/014/837/jishiyoryo.pdf
www.city.yokosuka.kanagawa.jp,個別/不明,1,30,https://www.city.yokosuka.kanagawa.jp/0533/nyuusatu/documents/02_r8_instagram_guideline.pdf
www.nedo.go.jp,個別/不明,1,29,https://www.nedo.go.jp/koubo/CD2_100425.html
www.rumoi.pref.hokkaido.lg.jp,個別/不明,1,29,https://www.rumoi.pref.hokkaido.lg.jp/fs/1/3/1/4/0/1/3/7/_/5.21%E5%AE%9A%E6%99%82%E8%A6%8B%E7%A9%8D%E7%9B%AE%E9%8C%B2(%E8%A2%AB%E6%9C%8D.%E7%95%99%E8%90%8C1%E3%80%812).pdf
www.e-bid.city.nagaoka.niigata.jp,個別/不明,1,29,http://www.e-bid.city.nagaoka.niigata.jp/public/
www.city.shimabara.lg.jp,個別/不明,1,29,https://www.city.shimabara.lg.jp/nyusatsu/nyusatsukekka/koji/20260513/010370.html
www.pref.shizuoka.jp,個別/不明,1,28,https://www.pref.shizuoka.jp/_res/projects/default_project/_page_/001/078/951/080414-715.pdf
www.city.himi.toyama.jp,個別/不明,1,28,https://www.city.himi.toyama.jp/material/files/group/11/20260428simeiitiranbe.pdf
www.city.gifu.lg.jp,個別/不明,1,28,https://www.city.gifu.lg.jp/_res/projects/default_project/_page_/001/039/159/r8_02k.pdf
www.city.tachikawa.lg.jp,個別/不明,1,28,https://www.city.tachikawa.lg.jp/_res/projects/default_project/_page_/001/026/851/zisshiyouryo.pdf
www.city.akita.lg.jp,個別/不明,1,27,https://www.city.akita.lg.jp/jigyosha/sonota-nyusatsu-keiyaku/1051262.html
e-bid.nyusatsu.ebid-osaka.jp,個別/不明,5,27,https://e-bid.nyusatsu.ebid-osaka.jp/
stage.tksc.jaxa.jp,個別/不明,1,25,https://stage.tksc.jaxa.jp/compe/zui/index_zui.html
www.aist.go.jp,個別/不明,1,25,https://www.aist.go.jp/Portals/0/resource_images/aist_j/procure/zuikei/pdf/itakukenkyu2603.pdf
www.city.himeji.lg.jp,個別/不明,1,25,https://www.city.himeji.lg.jp/sangyo/cmsfiles/contents/0000017/17303/jogesui20260331.pdf
www.town.saitama-miyoshi.lg.jp,個別/不明,1,24,https://www.town.saitama-miyoshi.lg.jp/town/keikaku/koukyoushisetsu-kihonkeikaku-kaitei-proposal.html
densieturan1.pref.fukushima.jp,個別/不明,2,24,https://densieturan1.pref.fukushima.jp/juchu/JK01-01.shtml
www.city.miyazaki.miyazaki.jp,個別/不明,1,23,https://www.city.miyazaki.miyazaki.jp/fs/8/7/5/6/3/2/_/01___________________.pdf
www.city.hirosaki.aomori.jp,個別/不明,1,23,https://www.city.hirosaki.aomori.jp/jouhou/keiyaku/2021-0205-1742-442.html
www.city.kakegawa.shizuoka.jp,個別/不明,1,23,https://www.city.kakegawa.shizuoka.jp/fs/6/3/1/7/6/5/_/20329_____.pdf
www.rokkasho.jp,個別/不明,1,23,"https://www.rokkasho.jp/index.cfm/14,16652,c,html/16652/20260522-114912.pdf"
www.hiyama.pref.hokkaido.lg.jp,個別/不明,1,22,https://www.hiyama.pref.hokkaido.lg.jp/ts/sum/teiji.html
www.city.suzuka.lg.jp,個別/不明,1,22,https://www.city.suzuka.lg.jp/sangyo/nyusatsu/1012167/1003585/1003586.html
www.city.tamba.lg.jp,個別/不明,1,22,https://www.city.tamba.lg.jp/material/files/group/20/0415kouji.pdf
www.town.tohoku.lg.jp,個別/不明,1,22,https://www.town.tohoku.lg.jp/sangyou/nyusatsu/file/n_kekka_r08-0603-02.pdf
www.city.saga.lg.jp,個別/不明,1,21,https://www.city.saga.lg.jp/main/116525.html
www.city.kasugai.lg.jp,個別/不明,1,21,https://www.city.kasugai.lg.jp/shisei/shisetsu/kouminkan/1010662/1036253.html
www.city.ryugasaki.ibaraki.jp,個別/不明,1,21,https://www.city.ryugasaki.ibaraki.jp/jigyosha/nyusatsu/shiyousyo/consul.html
www.city.kanuma.tochigi.jp,個別/不明,1,21,https://www.city.kanuma.tochigi.jp/manage/contents/upload/69f2e3f0d876b.pdf
www.chotatsu.city.nagoya.jp,個別/不明,1,20,https://www.chotatsu.city.nagoya.jp/ejpkg/EjPPIj
www4.city.kanazawa.lg.jp,個別/不明,1,20,https://www4.city.kanazawa.lg.jp/sangyo_business/nyusatsu_keiyaku/denshinyusatsu/11272.html
www.shugiin.go.jp,個別/不明,1,20,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/choutatsu/eizendenki/pdf/080525R8servis-optional.pdf/$File/080525R8servis-optional.pdf
www.city.yokkaichi.lg.jp,個別/不明,1,19,https://www.city.yokkaichi.lg.jp/www/contents/1774328816468/files/anmachiyouryou.pdf
www.city.kamaishi.iwate.jp,個別/不明,1,19,https://www.city.kamaishi.iwate.jp/docs/2026052500037/file_contents/20260525-1.pdf
www.nta.go.jp,個別/不明,1,19,https://www.nta.go.jp/about/organization/hiroshima/procurement/page_00022.html
www.city.sagamihara.kanagawa.jp,個別/不明,1,18,https://www.city.sagamihara.kanagawa.jp/sangyo/1026667/1034880.html
keiyaku.city.yokohama.lg.jp,個別/不明,1,18,https://keiyaku.city.yokohama.lg.jp/epco/servlet/p?job=NyusatsuKeiyakuKekkaBuppinSearch
ppi.cals.pref.yamagata.jp,電子入札コアシステム,1,18,https://ppi.cals.pref.yamagata.jp/PPI/JS03-01.shtml
www.city.kochi.kochi.jp,個別/不明,1,18,https://www.city.kochi.kochi.jp/uploaded/attachment/177581.pdf
www.city.shibata.lg.jp,個別/不明,1,18,https://www.city.shibata.lg.jp/_res/projects/default_project/_page_/001/031/367/kobetsukoukokur8-43.pdf
www.city.onomichi.hiroshima.jp,個別/不明,1,17,https://www.city.onomichi.hiroshima.jp/uploaded/life/89903_251505_misc.pdf
www.city.toyota.aichi.jp,個別/不明,1,17,https://www.city.toyota.aichi.jp/_res/projects/default_project/_page_/001/075/970/01.pdf
town.takinoue.hokkaido.jp,個別/不明,1,17,https://town.takinoue.hokkaido.jp/chosei/20200327/nyuusatueturan/20260422.html
www.osaka-env-paa.jp,個別/不明,1,17,https://www.osaka-env-paa.jp/nyusatsu/koji/document/tokuzui-kouji-R08-4_260521.pdf
www.city.yamato.lg.jp,個別/不明,1,17,https://www.city.yamato.lg.jp/gyosei/soshik/24/kankyo/keikaku_hoshin/jyu/21712.html
www.city.izumisano.lg.jp,個別/不明,1,17,https://www.city.izumisano.lg.jp/material/files/group/47/10_rinnkuu_rotari_doboku_c1.pdf
tenkai.jaea.go.jp,個別/不明,1,17,https://tenkai.jaea.go.jp/agreement/bid/files/20260522_030.pdf
www.city.kyotango.lg.jp,個別/不明,1,17,https://www.city.kyotango.lg.jp/top/soshiki/somu/nyusatsu/1/3/2807.html
www.to-kousya.or.jp,個別/不明,1,17,https://www.to-kousya.or.jp/keiyaku/nyusatu/
sakai.efftis.jp,efftis入札情報公開,1,16,https://sakai.efftis.jp/ebid01/PPI/Public/PPUBC00100
www.city.tanabe.lg.jp,個別/不明,1,16,https://www.city.tanabe.lg.jp/keiyaku/nyusatu-keiyaku/tanabeshi_denshinyusatsu.html
www.city.sabae.fukui.jp,個別/不明,1,16,https://www.city.sabae.fukui.jp/about_city/bid/sonotanyusatsu/reiwa8seigen/Zaimu01202605022046.files/20260521_01koukoku.pdf
