ドメイン,プラットフォーム,機関数,NJSS案件数,例URL
www.city.tokushima.tokushima.jp,個別/不明,1,3,https://www.city.tokushima.tokushima.jp/shisei/keizai/nyusatsu/kouji/ppi.html
www.town.shiga-hino.lg.jp,個別/不明,1,3,https://www.town.shiga-hino.lg.jp/0000006698.html
www.yurihama.jp,個別/不明,1,3,https://www.yurihama.jp/soshiki/2/27496.html
www.town.kanda.lg.jp,個別/不明,1,3,https://www.town.kanda.lg.jp/site/keiyaku/5703.html
official.shinkamigoto.net,個別/不明,1,3,https://official.shinkamigoto.net/cmd/data/entry/benri/benri.07880.00000016.pdf
tochigi.hospital-shinoyama.jp,個別/不明,1,3,https://tochigi.hospital-shinoyama.jp/nyusatsu/
www.city.kitakami.iwate.jp,個別/不明,1,3,https://www.city.kitakami.iwate.jp/life/shisei/nyusatsu_keiyaku/24670.html
www.city.shinjo.yamagata.jp,個別/不明,1,3,https://www.city.shinjo.yamagata.jp/n001/010/010/140/20260521113217.html
kakogawa.efftis.jp,efftis入札情報公開,1,3,https://kakogawa.efftis.jp/PPI/Public/PPUBC00600
www.town.okayama-misaki.lg.jp,個別/不明,1,3,https://www.town.okayama-misaki.lg.jp/material/files/group/4/20260430koukoku32.pdf
www.adb.shizuoka.ac.jp,個別/不明,1,3,https://www.adb.shizuoka.ac.jp/keiyaku/announce.htm?id=6115
www.choutatsu-ppi.pref.fukuoka.lg.jp,個別/不明,1,3,https://www.choutatsu-ppi.pref.fukuoka.lg.jp/DENTYO/P1005_05
kanpo.adm.nagoya-u.ac.jp,個別/不明,1,3,https://kanpo.adm.nagoya-u.ac.jp/detail_ippan.php?no=1555
www.sapporo-market.gr.jp,個別/不明,1,3,https://www.sapporo-market.gr.jp/blog/?p=40591
www.city.matsubara.lg.jp,個別/不明,1,3,https://www.city.matsubara.lg.jp/fs/3/4/4/8/1/8/_/buppin5zenhan.pdf
www.town.ooki.lg.jp,個別/不明,1,3,https://www.town.ooki.lg.jp/sangyo/14/tokuteizuiikeiyaku/keiyakukekka/9651.html
www.city.kikugawa.shizuoka.jp,個別/不明,1,3,https://www.city.kikugawa.shizuoka.jp/zaisei/documents/kami260416.pdf
contract.c-nexco.co.jp,個別/不明,1,3,https://contract.c-nexco.co.jp/
www.chancenavi.jp,個別/不明,1,3,https://www.chancenavi.jp/bcn/
www.thers.ac.jp,個別/不明,1,3,https://www.thers.ac.jp/quotation/
www.vill.otama.fukushima.jp,個別/不明,1,3,https://www.vill.otama.fukushima.jp/file/contents/3845/36235/nyuusatsukoukoku26100.pdf
www.nies.go.jp,個別/不明,1,3,https://www.nies.go.jp/about/procurement/kokoku/20260525N1.html
www.ipa.go.jp,個別/不明,1,3,https://www.ipa.go.jp/choutatsu/koubo/2026/koubo20260522-2.html
www.open-markets.jp,個別/不明,1,3,https://www.open-markets.jp/sub_nakanihonn-exp.html
www.oita-u.ac.jp,個別/不明,1,3,https://www.oita-u.ac.jp/000070606.pdf
tsugarukoiki.jp,個別/不明,1,3,https://tsugarukoiki.jp/contract.html
www.city.katano.osaka.jp,個別/不明,1,3,https://www.city.katano.osaka.jp/docs/2026051900036/file_contents/mitumorikoukoku_shusei2.pdf
www.city.asakura.lg.jp,個別/不明,1,3,https://www.city.asakura.lg.jp/uploaded/attachment/9946.pdf
www.town.horonobe.lg.jp,個別/不明,1,3,https://www.town.horonobe.lg.jp/www4/section/sangyo/le009f000001qdaa.html
www.city.kadoma.osaka.jp,個別/不明,1,3,https://www.city.kadoma.osaka.jp/material/files/group/50/jissiyouryou.pdf
osaka.hosp.go.jp,個別/不明,1,3,https://osaka.hosp.go.jp/wp-content/themes/osaka-iryou/img/nyusatsu/nyusatu20260521_1.pdf
www.jetro.go.jp,個別/不明,1,3,https://www.jetro.go.jp/ext_images/_Bid/oda/ODA260522002koukoku.pdf
www.city.susono.shizuoka.jp,個別/不明,1,3,https://www.city.susono.shizuoka.jp/material/files/group/47/R8_2014.pdf
www.lmo.go.jp,個別/不明,1,3,https://www.lmo.go.jp/news/tyotatujyouhou/2026/20260525.files/20260525.pdf
www.town.taketomi.lg.jp,個別/不明,1,3,https://www.town.taketomi.lg.jp/userfiles/files/1koukokubun_12.pdf
www.city.hamamatsu.shizuoka.jp,個別/不明,1,3,https://www.city.hamamatsu.shizuoka.jp/documents/25395/haisyakoukoku.pdf
www.city.wakkanai.hokkaido.jp,個別/不明,1,3,https://www.city.wakkanai.hokkaido.jp/files/00020400/00020460/r08-077-honbun.pdf
www.kokuho-hp.or.jp,個別/不明,1,3,https://www.kokuho-hp.or.jp/files/original/2026052017283683015765151.pdf
www.jesconet.co.jp,個別/不明,1,3,https://www.jesconet.co.jp/content/000027502.pdf
www.city.shirakawa.fukushima.jp,個別/不明,1,2,https://www.city.shirakawa.fukushima.jp/data/doc/1776337508_doc_23_0.pdf
www.city.chikusei.lg.jp,個別/不明,1,2,https://www.city.chikusei.lg.jp/jigyousha/proposal/proposal-project/page013558.html
www.town.oji.nara.jp,個別/不明,1,2,https://www.town.oji.nara.jp/bosyuinfo/11464.html
www.city.chigasaki.kanagawa.jp,個別/不明,1,2,https://www.city.chigasaki.kanagawa.jp/kyouiku/shogakko/1067008.html
www.oist.jp,個別/不明,1,2,https://www.oist.jp/sites/default/files/2026-04/1.%E4%BC%81%E7%94%BB%E7%AB%B6%E4%BA%89%E5%85%AC%E5%91%8A.pdf
www.city.naruto.lg.jp,個別/不明,1,2,https://www.city.naruto.lg.jp/docs/2026040200031/file_contents/1.pdf
www.vill.matsukawa.nagano.jp,個別/不明,1,2,https://www.vill.matsukawa.nagano.jp/assets/images/content/content_20260521_170449.pdf
www.pref.nara.lg.jp,個別/不明,1,2,https://www.pref.nara.lg.jp/documents/23142/01koukoku.pdf
www.city.hatsukaichi.hiroshima.jp,個別/不明,1,2,https://www.city.hatsukaichi.hiroshima.jp/uploaded/attachment/92386.pdf
www.city.uda.lg.jp,個別/不明,1,2,https://www.city.uda.lg.jp/soshiki/5/23184.html
www.city.shiga-konan.lg.jp,個別/不明,1,2,https://www.city.shiga-konan.lg.jp/shigoto/kokoku/24071.html
miechuo.hosp.go.jp,個別/不明,1,2,https://miechuo.hosp.go.jp/pdf/chotatu/zuii/zuii.xlsx
police.pref.toyama.jp,個別/不明,1,2,https://police.pref.toyama.jp/documents/1877/anken12.pdf
www.city.aomori.aomori.jp,個別/不明,1,2,https://www.city.aomori.aomori.jp/sangyo_koyou/jigyosha/1004461/1004683/1004685.html
www.ikedamachi.net,個別/不明,1,2,https://www.ikedamachi.net/cmsfiles/contents/0000004/4181/20260519_kekka.pdf
www.city.kitakata.fukushima.jp,個別/不明,1,2,https://www.city.kitakata.fukushima.jp/soshiki/zaisei/22296.html
www.city.nomi.lg.jp,個別/不明,1,2,https://www.city.nomi.lg.jp/fs/2/1/1/1/1/_/2026051202.pdf
www.city.chikugo.lg.jp,個別/不明,1,2,https://www.city.chikugo.lg.jp/shigoto/_3716/_30109.html
www.town.tsubata.lg.jp,個別/不明,1,2,https://www.town.tsubata.lg.jp/page/1262.html
www.city.goshogawara.lg.jp,個別/不明,1,2,https://www.city.goshogawara.lg.jp/jouhou/nyusatsu/files/R8gi.k004.pdf
www.city.kiryu.lg.jp,個別/不明,1,2,https://www.city.kiryu.lg.jp/_res/projects/default_project/_page_/001/002/301/r8/kekkab080520.pdf
www.city.noda.chiba.jp,個別/不明,1,2,https://www.city.noda.chiba.jp/_res/projects/default_project/_page_/001/041/305/R7/bunkakaikan/bunka_shiteikekka.pdf
www.city.aioi.lg.jp,個別/不明,1,2,https://www.city.aioi.lg.jp/uploaded/attachment/25098.pdf
osumikimokou.jp,個別/不明,1,2,http://osumikimokou.jp/wp-content/uploads/2026/04/2-%EF%BC%91%E3%80%80%E5%85%AC%E5%91%8A.pdf
www.city.yonezawa.yamagata.jp,個別/不明,1,2,https://www.city.yonezawa.yamagata.jp/category/shigoto_sangyo/1/6/3949.html
www.city.kizugawa.lg.jp,個別/不明,1,2,https://www.city.kizugawa.lg.jp/cmsfiles/contents/0000002/2727/nyuusatukoukoku_8sg1.pdf
www.city.tamura.lg.jp,個別/不明,1,2,https://www.city.tamura.lg.jp/soshiki/3/assets/%E4%BB%A4%E5%92%8C8%E5%B9%B4%E5%BA%A6%E9%9A%8F%E6%84%8F%E5%A5%91%E7%B4%84%E4%B8%80%E8%A6%A7%E8%A1%A8%EF%BC%88400%E4%B8%87%E5%86%86%E4%BB%A5%E4%B8%8A%E3%81%AE%E5%B7%A5%E4%BA%8B%EF%BC%89.pdf
www.tokyo-kosha.or.jp,個別/不明,1,2,https://www.tokyo-kosha.or.jp/kosha/keiyaku/index.html
www.town.tara.lg.jp,個別/不明,1,2,https://www.town.tara.lg.jp/var/rev0/0021/8442/126522155126.pdf
www.kitakyu-cho.jp,個別/不明,1,2,https://www.kitakyu-cho.jp/2026/05/00_isshiki_260522_01.pdf
www.city.onojo.fukuoka.jp,個別/不明,1,2,https://www.city.onojo.fukuoka.jp/kiji0031802/3_1802_up_bzhc0snw.pdf
www.town.mizumaki.lg.jp,個別/不明,1,2,https://www.town.mizumaki.lg.jp/s051/bid/pdf/R0804tyoueijyuutakutokuteikenntikubutu_ke.pdf
www.city.koga.fukuoka.jp,個別/不明,1,2,https://www.city.koga.fukuoka.jp/phpdata/bidresults/bb23de5b13828feacde88f73f373ba0b.pdf
www.e-nexco.co.jp,個別/不明,1,2,https://www.e-nexco.co.jp/bids/public_notice/search_service
www.jma-net.go.jp,個別/不明,1,2,https://www.jma-net.go.jp/choutatsu/data/R08/08%20ippan/2026030901R.pdf
www.city.fukui-sakai.lg.jp,個別/不明,1,2,https://www.city.fukui-sakai.lg.jp/kanri/jigyosha/nyusatsu/kekka/documents/ichiran017-035.pdf
www.pref.nara.jp,個別/不明,1,2,https://www.pref.nara.jp/26215.htm
www.town.yamada.iwate.jp,個別/不明,1,2,https://www.town.yamada.iwate.jp/fs/1/3/9/3/8/9/_/R08_tokuzui3_0522.pdf
chotatsu.jimu.kyushu-u.ac.jp,個別/不明,1,2,https://chotatsu.jimu.kyushu-u.ac.jp/
www.mie-u.ac.jp,個別/不明,1,2,https://www.mie-u.ac.jp/shisetsu/news/koji/525-1.html
www.shizuoka-pho.jp,個別/不明,1,2,https://www.shizuoka-pho.jp/sogo/media/ixtushiki4.pdf
www.kagawah.johas.go.jp,個別/不明,1,2,https://www.kagawah.johas.go.jp/wp-content/uploads/2026/05/46fc80e8fe8974ca0d898d39d665d7ec-2.pdf
www.kuhs.ac.jp,個別/不明,1,2,https://www.kuhs.ac.jp/att/03563_44298_010.pdf
www.city.kama.lg.jp,個別/不明,1,2,https://www.city.kama.lg.jp/site/kanzai/42077.html
www.yamagata-u.ac.jp,個別/不明,1,2,https://www.yamagata-u.ac.jp/jp/university/open/procure/
www.osaka-u.ac.jp,個別/不明,1,2,https://www.osaka-u.ac.jp/ja/guide/publications/cyoutatu/mitumori.html
www.city.miyakojima.lg.jp,個別/不明,1,2,https://www.city.miyakojima.lg.jp/gyosei/jyouhoukoukai/zuiikeiyaku/2026-0522-0902-15.html
www.city.ashikaga.tochigi.jp,個別/不明,1,2,https://www.city.ashikaga.tochigi.jp/industory/000060/000322/000735/p004354.html
www.jmets.ac.jp,個別/不明,1,2,https://www.jmets.ac.jp/procurement/fhrhtb0000001jnm-att/fhrhtb0000001job.pdf
www.city.gero.lg.jp,個別/不明,1,2,https://www.city.gero.lg.jp/soshiki/16/38463.html
www.town.yuzawa.lg.jp,個別/不明,1,2,https://www.town.yuzawa.lg.jp/material/files/group/3/6-4-2koukoku.pdf
www.jichi.ac.jp,個別/不明,1,2,https://www.jichi.ac.jp/assets/pdf/bid/public_2026052501.pdf
nishigo-sh.fcs.ed.jp,個別/不明,1,2,https://nishigo-sh.fcs.ed.jp/file/4992
www.u-ryukyu.ac.jp,個別/不明,1,2,https://www.u-ryukyu.ac.jp/wp-content/uploads/2026/05/28652ae535c6caf176f2924fe952cceb.pdf
www.jsps.go.jp,個別/不明,1,2,https://www.jsps.go.jp/j-choutatsu/index.html
www.tottori-seibukoiki.jp,個別/不明,1,2,https://www.tottori-seibukoiki.jp/secure/3652/hacchuuhyou_8shi17.pdf
www.city.daisen.lg.jp,個別/不明,1,2,https://www.city.daisen.lg.jp/uploads/contents/archive_0000006423_00/%E5%8B%9F%E9%9B%86%E5%AE%9F%E6%96%BD%E8%A6%81%E9%A0%98.pdf
nahaport.jp,個別/不明,1,2,https://nahaport.jp/userfiles/files/nyuusatu/R8koukokunado/09_nahafutouhakuchijikitansagyoumuitaku(R8-1)/koukokudai26gou.pdf
www.town.watari.miyagi.jp,個別/不明,1,2,https://www.town.watari.miyagi.jp/common/img/content/content_20260520_090216.pdf
www.jnto.go.jp,個別/不明,1,2,https://www.jnto.go.jp/news/nf20260522_2.pdf
www.town.kisosaki.lg.jp,個別/不明,1,2,https://www.town.kisosaki.lg.jp/cmsfiles/contents/0000003/3105/33-koukoku.pdf
www.kibireha.jeed.go.jp,個別/不明,1,2,https://www.kibireha.jeed.go.jp/tender/doc/Kokoku(R8.5.25).pdf
www.pref.kyoto.jp,個別/不明,1,2,https://www.pref.kyoto.jp/fukei/site/kaikei_k/nyusatsu/documents/5026.pdf
www.asukamura.jp,個別/不明,1,2,https://www.asukamura.jp/files/nyusatsu_joho/260525/08-105-01.pdf
tokyo-hp.hosp.go.jp,個別/不明,1,2,https://tokyo-hp.hosp.go.jp/bumon/jimu/kikakuka.html
www.customs.go.jp,個別/不明,1,2,https://www.customs.go.jp/kyotsu/chotatsu/nyusatsu/n_nagoya/20260525_kaikeiyokkaiti.pdf
www.kuriharacity.jp,個別/不明,1,2,https://www.kuriharacity.jp/w004/030/010/200/2026koukou/0525/20260525koukoku1.pdf?5221842
www.city.bibai.hokkaido.jp,個別/不明,1,2,https://www.city.bibai.hokkaido.jp/uploaded/attachment/21221.pdf
www.kppuc.ac.jp,個別/不明,1,2,https://www.kppuc.ac.jp/bid/image/pdf/nyusatsukoukoku_uok_20260521.pdf
www.vill.shimokitayama.nara.jp,個別/不明,1,2,https://www.vill.shimokitayama.nara.jp/oshirase/file/aa0ea0cd8134f4531469248ad62fa5af76d590aa.pdf
www.city.nago.okinawa.jp,個別/不明,1,2,https://www.city.nago.okinawa.jp/kurashi/2021081000053/file_contents/1d.pdf
www.city.moka.lg.jp,個別/不明,1,2,https://www.city.moka.lg.jp/material/files/group/57/AIchatbot_01youryou.pdf
www.awakouiki.jp,個別/不明,1,2,http://www.awakouiki.jp/nyusatsu_keiyaku/nyusatsu_word_pdf/R8nyuusatu/R8.6.12/notopc/01koukoku.pdf
shinjuku.jcho.go.jp,個別/不明,1,2,https://shinjuku.jcho.go.jp/wp-content/uploads/2026/05/koukoku-tore.pdf
www.sanin-tourism.com,個別/不明,1,2,https://www.sanin-tourism.com/wp-content/uploads/2026/05/6621611c0557819e3d7adffe499463d6.pdf
www.npb.go.jp,個別/不明,1,2,https://www.npb.go.jp/zyohoteikyo/finance/nyusatu/koubo.html
www.nmao.go.jp,個別/不明,1,2,https://www.nmao.go.jp/wp-content/uploads/2026/05/tender_20260525_collection-tenji.pdf
www.kek.jp,個別/不明,1,2,https://www.kek.jp/wp-content/uploads/2026/05/0525-0604-PumpModule.pdf
houmukyoku.moj.go.jp,個別/不明,1,2,https://houmukyoku.moj.go.jp/mito/content/001462997.pdf#nyusatsu
www.kesennuma.miyagi.jp,個別/不明,1,2,https://www.kesennuma.miyagi.jp/sec/s087/010/010/010/030/20260521153216.html
www.town.shimamoto.lg.jp,個別/不明,1,2,https://www.town.shimamoto.lg.jp/uploaded/attachment/15991.pdf
www.shiribeshi.pref.hokkaido.lg.jp,個別/不明,1,2,https://www.shiribeshi.pref.hokkaido.lg.jp/fs/1/3/1/4/3/6/1/4/_/001_%E5%85%A5%E6%9C%AD%E3%81%AE%E5%85%AC%E5%91%8A.pdf
www.pmac.shigaku.go.jp,個別/不明,1,2,https://www.pmac.shigaku.go.jp/annai/joho/choutatsu/nyusatukoukoku/ldhafg0000000m1x-att/koukoku_2080522_2.pdf
www.city.sodegaura.lg.jp,個別/不明,1,2,https://www.city.sodegaura.lg.jp/soshiki/tokei/koutuukeikaku2sakutei.html
www.boj.or.jp,個別/不明,1,2,https://www.boj.or.jp/about/ct/nebid/index.htm/
www.jeed.go.jp,個別/不明,1,2,https://www.jeed.go.jp/jeed/information/honbu/f41obh0000008ris-att/f41obh0000008rjv.pdf
kanagawa.hosp.go.jp,個別/不明,1,2,https://kanagawa.hosp.go.jp/files/000255466.pdf
bap.jimu.kyutech.ac.jp,個別/不明,1,1,https://bap.jimu.kyutech.ac.jp/publishes/115281
www.aots.jp,個別/不明,1,1,https://www.aots.jp/application/files/1017/7674/4364/koubo_youryou_20260422.pdf
www.town.yakushima.kagoshima.jp,個別/不明,1,1,https://www.town.yakushima.kagoshima.jp/material/files/group/12/108.pdf
www.town.fujikawa.yamanashi.jp,個別/不明,1,1,https://www.town.fujikawa.yamanashi.jp/docs/2026041500017/file_contents/jisshiyoryo.pdf
www.town.kadena.okinawa.jp,個別/不明,1,1,https://www.town.kadena.okinawa.jp/info/eb58347827ccff94892309907778dcb191801b77.pdf
www.city.ichikikushikino.lg.jp,個別/不明,1,1,https://www.city.ichikikushikino.lg.jp/densan1/r8/documents/01_syokumachi_2jissi_3keikaku_youkou.pdf
www.town.sasaguri.fukuoka.jp,個別/不明,1,1,https://www.town.sasaguri.fukuoka.jp/material/files/group/24/koukoku_noutore.pdf
www.bungo-ohno-hp.jp,個別/不明,1,1,http://www.bungo-ohno-hp.jp/images/2026/04/puropo20260408/kokoku_20260408.pdf
www.city.kunisaki.oita.jp,個別/不明,1,1,https://www.city.kunisaki.oita.jp/uploaded/attachment/30294.pdf
www.town.yokohama.lg.jp,個別/不明,1,1,"https://www.town.yokohama.lg.jp/index.cfm/7,14017,39,237,html"
www.city.katori.lg.jp,個別/不明,1,1,https://www.city.katori.lg.jp/government/keiyaku/proposal/20260406kosodate.html
www.katsurao.org,個別/不明,1,1,https://www.katsurao.org/uploaded/life/21022_136478_misc.pdf
www.tousou-water.jp,個別/不明,1,1,http://www.tousou-water.jp/bid/limit/files/08dairekuto-koukoku08014.pdf
www.town.umi.lg.jp,個別/不明,1,1,https://www.town.umi.lg.jp/site/kouhou/koho-sub.html
www.city.takasago.lg.jp,個別/不明,1,1,https://www.city.takasago.lg.jp/material/files/group/91/koubo.pdf
www.city.nishitokyo.lg.jp,個別/不明,1,1,https://www.city.nishitokyo.lg.jp/siseizyoho/jigyo/boshu/2026citypr.html
www.city.tsukuba.lg.jp,個別/不明,1,1,https://www.city.tsukuba.lg.jp/material/files/group/32/jissiyouryou.pdf
